,79.78,9052,-192,11372
251901,5.59,7944,-308,11872
251913,5.59,8180,-248,11836
251925,5.61,8060,-248,11764
251937,5.59,8016,-264,12028
251949,5.59,8224,-108,11916
251961,5.59,8204,-212,11808
251973,5.59,8080,-384,12000
251985,5.59,8160,-180,11704
251997,5.59,8100,-188,11860
252009,5.59,7968,-380,11856
252021,5.59,7976,-192,11880
252033,5.59,8112,-180,12032
252045,5.59,8144,-192,12068
252057,5.59,8028,-288,11988
252069,5.59,8116,-252,11824
252081,5.59,8104,-232,11940
252093,5.59,8132,-292,12128
252105,5.59,8036,-164,11852
252117,5.18,8088,-196,11920
252129,5.59,8184,-280,12000
252141,5.59,7988,-320,11788
252153,5.59,8112,-208,11980
252165,5.59,8112,-176,11928
252177,5.59,8012,-252,11896
252189,5.59,8020,-256,11888
252201,5.59,8012,-288,11916
252213,5.59,8020,-268,11932
252225,5.59,7988,-260,11876
252237,5.59,8080,-280,11680
252249,5.59,8128,-192,12016
252261,5.59,8116,-204,11796
252273,5.59,8016,-232,11996
252285,5.18,8040,-316,11916
252297,5.59,8160,-204,11928
252309,5.18,8012,-232,11868
252321,5.18,8092,-256,11768
252333,5.59,8216,-196,11812
252345,5.59,8096,-184,11964
252357,5.59,8124,-292,11804
252369,5.59,8136,-284,11816
252381,5.59,8204,-240,11848
252393,5.59,8000,-236,11952
252405,5.59,7932,-224,11928
252417,5.59,8228,-176,11908
252429,5.18,8048,-284,11868
252441,5.59,7972,-224,12084
252453,5.59,8112,-156,11920
252465,5.59,8072,-220,11872
252477,5.59,8012,-260,11812
252489,5.59,8076,-184,11804
252501,5.59,8172,-268,11916
252513,5.59,8076,-168,11800
252525,5.59,8052,-276,11908
252537,5.59,8256,-236,11876
252549,5.59,8068,-164,11844
252561,5.59,8024,-296,11684
252573,5.59,8048,-244,11896
252585,5.59,8176,-244,11960
252597,5.59,8100,-176,11904
252609,5.18,8000,-184,11824
252621,5.59,8108,-196,11860
252633,5.59,8088,-136,12028
252645,5.59,8044,-168,11960
252657,5.59,8116,-232,11900
252669,5.18,8156,-216,11956
252681,5.59,8108,-272,11988
252693,5.59,8108,-300,11912
252705,5.59,8144,-256,11964
252717,5.59,8160,-216,11840
252729,5.18,7992,-228,11948
252741,5.59,8052,-216,11952
252753,5.59,8108,-244,12012
252765,5.59,8060,-188,11852
252777,5.59,8076,-204,11756
252789,5.18,8148,-200,11760
252801,5.59,8108,-236,11812
252813,5.59,8032,-184,11932
252825,5.59,8068,-264,12048
252837,5.59,8076,-220,11872
252849,5.59,7992,-112,11804
252861,5.59,7944,-236,11908
252873,5.59,8148,-176,11876
252885,5.59,8112,-188,11880
252897,5.59,7996,-256,12040
252909,5.59,7944,-300,11884
252921,5.59,8136,-252,11868
252933,5.59,8072,-220,11884
252945,5.59,8044,-264,11632
252957,5.59,8124,-252,11880
252969,5.59,8132,-200,11932
252981,5.59,8008,-248,11808
252993,5.59,8044,-328,11912
253005,5.59,8032,-244,11888
253017,5.59,8040,-316,11932
253029,5.59,8024,-260,11704
253041,5.59,8224,-200,11860
253053,5.59,8080,-80,11784
253065,5.59,8000,-252,12004
253077,5.59,8084,-268,11948
253089,5.59,8160,-212,11804
253101,5.59,8136,-212,11948
253113,5.59,8024,-216,11816
253125,5.59,8112,-272,11928
